#;Campeonato;Premio;Times;Jogadores
1.;» PGL Major Stockholm 2021;$2,000,000.00;16 Teams;80 Players
2.;» WESG 2016 (CS:GO);$1,500,000.00;8 Teams;40 Players
3.;» WESG 2017 (CS:GO Male);$1,500,000.00;16 Teams;80 Players
4.;» ELEAGUE Season 1;$1,410,000.00;24 Teams;124 Players
5.;» ELEAGUE Season 2;$1,100,000.00;16 Teams;81 Players
6.;» BLAST Premier: Global Final 2020;$1,000,000.00;8 Teams;43 Players
7.;» BLAST Premier: World Final 2021;$1,000,000.00;8 Teams;40 Players
8.;» ELEAGUE CS:GO Premier 2017;$1,000,000.00;16 Teams;80 Players
9.;» ELEAGUE CS:GO Premier 2018;$1,000,000.00;8 Teams;40 Players
10.;» ELEAGUE Major 2017;$1,000,000.00;16 Teams;80 Players
11.;» ELEAGUE Major: Boston 2018;$1,000,000.00;16 Teams;80 Players
12.;» ESL One: Cologne 2016;$1,000,000.00;16 Teams;81 Players
13.;» FACEIT Major: London 2018;$1,000,000.00;16 Teams;80 Players
14.;» FLASHPOINT Season 1;$1,000,000.00;8 Teams;40 Players
15.;» Flashpoint Season 2;$1,000,000.00;8 Teams;40 Players
16.;» IEM Season XV - World Championship;$1,000,000.00;24 Teams;122 Players
17.;» IEM Season XVI - Cologne;$1,000,000.00;24 Teams;120 Players
18.;» IEM Season XVI - Katowice;$1,000,000.00;24 Teams;121 Players
19.;» IEM XIII - Katowice 2019 (CS:GO Major);$1,000,000.00;16 Teams;80 Players
20.;» Intel Grand Slam Season 1;$1,000,000.00;1 Team;5 Players
21.;» Intel Grand Slam Season 2;$1,000,000.00;1 Team;5 Players
22.;» Intel Grand Slam Season 3;$1,000,000.00;1 Team;5 Players
23.;» MLG Major Championship: Columbus 2016;$1,000,000.00;16 Teams;80 Players
24.;» PGL Major Kraków 2017;$1,000,000.00;16 Teams;80 Players
25.;» StarLadder Berlin Major 2019;$1,000,000.00;16 Teams;80 Players
26.;» WESG 2018 (CS:GO Male);$890,000.00;8 Teams;40 Players
27.;» Esports Championship Series Season 1 - Finals;$765,000.00;8 Teams;40 Players
28.;» Saudi Esports Federation Cup Season 1;$759,476.16;12 Teams;10 Players
